comparison,n,pearson,pearson_ci_lower,pearson_ci_upper,spearman,spearman_ci_lower,spearman_ci_upper,mae
Yousha vs gemini,600,0.7205623901449912,0.6615484944045219,0.7717465828727376,0.6054852675950899,0.5373326336338989,0.6624714129297393,0.7283333333333334
simran vs gemini,600,0.5706371437313651,0.4943527019158581,0.6438443642653398,0.4992765819124316,0.416350539447017,0.5714745149028804,0.685
avg_human vs gemini,600,0.7562624478939669,0.7044307425604299,0.8016245220256054,0.6227845700795362,0.557405212481664,0.6763966783895745,0.6516666666666666
IAA (Yousha/Simran),600,0.48842971098084725,0.4010534213711535,0.5725497686323545,0.41407660647189587,0.33488019532028507,0.49613955567737805,0.9933333333333333
